"Protocol","Time","d_time","Length","Source","src_port","Destination","dst_port"
"802.11","6.202769","-0.000001","128","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.202769","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.202769","0.000000","100","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.202769","0.000000","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.202770","0.000001","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.202769","-0.000001","105","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.204305","0.001536","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.207890","0.003585","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.207889","-0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.210448","0.002559","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.210449","0.000001","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.218129","0.007680","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.219669","0.001540","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.219689","0.000020","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.219665","-0.000024","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.221714","0.002049","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.231953","0.010239","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.231953","0.000000","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.231954","0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.231952","-0.000002","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.235025","0.003073","130","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.243755","0.008730","113","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.244779","0.001024","117","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","6.246802","0.002023","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.246802","0.000000","113","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.248337","0.001535","97","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.248337","0.000000","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.258065","0.009728","117","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.258066","0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.258598","0.000532","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
